Column1,Column2,Column3,Sentimento
Mon Sep 27 16:46:52 +0000 2021,[1442531193430462465],"@ThiagoResiste Com o bando de candidato a presidente só  vai fortaleçer Bolsonaro,  todos vai se juntar para descer o cacete no ladrão Lula kkkkkkkkk",Positivo
Mon Sep 27 16:46:52 +0000 2021,[1442531194076221443],"@Mwanzi30965883 @BispaEdna @Estadao @EstadaoPolitica Não sabe nem do que tá falando, típico desse tipo de gentinha minúscula. Os poderes tem competências diferentes, e são equivalentes e ligados entre si. É a base da nação. Bolsonaro ataca o STF porque, d",Positivo
Mon Sep 27 16:46:58 +0000 2021,[1442531221502717952],"@o_antagonista Ela toma o que quiser, pois a vida é dela. Sem eficácia comprovada são os fofoqueiros de plantão dando pitaco na vida alheia. todas as vezes que tentam colar algo ruim, na família Bolsonaro, sempre tem efeito contrário. Vocês não aprendem m",Positivo
Mon Sep 27 16:47:02 +0000 2021,[1442531236136714244],"@renancalheiros Bolsonaro vai sair dessa CPI com um grande atestado de HONESTO é isso é pra poucos não é pra qualquer um, senador. Vão ter que engolir Presidente Bolsonaro em 2022",Positivo
Mon Sep 27 16:47:41 +0000 2021,[1442531401291685888],"Recomendo cuidado com o discurso da ""cobrança externa"" ao governo sobre Amazônia, meio ambiente, etc. Na mineração, por ex, Bolsonaro e Biden estão alinhadíssimos. Inclusive trabalhando juntos. Outros países acompanham. https://t.co/s5niGkTv2q",Positivo
Mon Sep 27 16:48:02 +0000 2021,[1442531486914260999],"@MauricioNardiJ6 @thicico O número de miseráveis vagando por São Paulo é assustador. Dória @jdoriajr não tem nada a ver com isso, Bolsonaro não tem nada a ver com isso...",Positivo
Mon Sep 27 16:48:14 +0000 2021,[1442531537807818756],"Governo que faz, presidente que você respeita! Melhor da história do Brasil!! Bolsonaro orgulho define!! #1000DiasSemCorrupcao",Positivo
Mon Sep 27 16:48:21 +0000 2021,[1442531569814626305],"@OitoTrintaDois @Rosana_Oliveira @Fabr1c1oDondon1 @felipehorlle @RenanSantosMBL @Ideias_Radicais O cara fala fora Bolsonaro, desde antes da eleição do Bolsonaro.  Sempre falou que não valia a pena confiar o voto no Bolsonaro. Nunca foi um cara liberal por",Positivo
Mon Sep 27 16:48:26 +0000 2021,[1442531588474957827],"ALÉM DE NÃO TER VOTOS A TERCEIRA VIA É BURRA Em toda eleição só há um candidato de governo e vários de oposição. Portanto, os candidatos da terceira via precisam tirar votos de Lula. Isso quer dizer que eles têm que bater em Bolsonaro a fim de fragilizar a posição de Lula. São https://t.co/lTBbsDOAKy",Positivo
Mon Sep 27 16:48:28 +0000 2021,[1442531596926652417],"@PollmannGeorge Pelo menos vc assumiu que é um retardado discípulo de Paulo Freire. Corrupção é a logomarca da esquerda e ppalmente do PT, portanto, vc só consegue falar idiotices. A economia, se dependesse de governadores, derreteria mesmo. Graças a Bols",Positivo
Mon Sep 27 16:48:35 +0000 2021,[1442531627431727110],"@joaoamoedonovo A diferença entre sua inveja e Bolsonaro, são apenas 60 milhões de votos.  A diferença entre as abóbrinhas vc posta e uma nota de 3 reais, é que a nota de 3 reais tem mais credibilidade.  Bolsonaro: 1000 dias s/corrupção.  Amoedinho:  1000",Positivo
Mon Sep 27 16:48:45 +0000 2021,[1442531669492310019],"PODE PARECER POUCO, MÁS, IMAGINEM ESSES MILHÕES RODANDO NA ECONOMIA!!  Governo Bolsonaro fará maior inclusão de crédito da história, diz presidente da Caixa https://t.co/Sa06A5JR3m",Positivo
Mon Sep 27 16:48:56 +0000 2021,[1442531714794991617],"@KennedyAlencar @UOL @UOLNoticias É isso mesmo? O Senado vai botar mesmo o rabo entre as pernas ao lidar com os militares, personagens centrais e responsáveis por toda a tragédia descortinada na CPI? Então Bolsonaro já deu o golpe e venceu.",Positivo
Mon Sep 27 16:49:10 +0000 2021,[1442531773762527241],"@ManuelaDavila Eu sempre falei para todos, Bolsonaro deveria passar o rodo nesses comunistas todos de uma vez, nos livrar dessa raça acostumada com o dinheiro público fácil das regalias pagas pelo povo. Vcs estão todos unidos e só articulando para derruba",Positivo
Mon Sep 27 16:49:29 +0000 2021,[1442531851764121610],"@Rconstantino Eu acho que  todos os governantes direta ou indiretamente tem culpa SIM  ! Agora colocar tudo a culpa dessa crise só na  conta do Bolsonaro e  livrar a cara de governadores e prefeitos que tracaram cidades e municípios,  dizendo economia vê ",Positivo
Mon Sep 27 16:49:54 +0000 2021,[1442531958001586182],"O truque da elite é colocar todos os problemas do Brasil no Bolsonaro, assim como antes colocarem todos os problemas na culpa do Temer.  A diferença é que o Temer sabia disso e não se importava. Já o Bolsonaro não tem menor ideia do que o atinge.",Positivo
